site,lat,long,elevation,MAP,aridity.demartonne
1,34.84872602,-119.483117,848,547,3.652222222
2,34.85362197,-119.485961,837,542,3.589403974
3,34.93824399,-119.48084,827,513,3.375
4,34.94722403,-119.480491,838,514,3.381578947
5,35.04595203,-119.889098,557,472,2.987341772
6,35.04901201,-119.896177,504,448,2.782608696
